country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
India,1881,IND,257168597.0,,,,1.839,-0.047,-2.514,110.73,1.301,1.189,0.431,,,0.007,,,1.74,0.007,,,,,12.292,1429.083,12.01,,0.0,3931.945,0.282,,,,,,0.0,0.0,0.213,1.28,108.891,0.423,223.263,0.868,38.022,0.148,0.099,0.0,,,,,0.207,2.465,0.2,,0.063,1.281,0.062,,,4.072,0.248,,,,3.022,0.575,,4.654,0.002,0.001,0.003,0.0,329.289,54.855,,
India,1882,IND,258901501.0,,,,2.196,0.357,19.407,115.262,4.531,4.092,0.445,,,0.008,,,1.969,0.008,,,,,14.489,1544.344,13.979,,0.0,4045.01,0.509,,,,,,0.0,0.0,0.215,1.292,113.066,0.437,225.234,0.87,38.391,0.148,0.227,0.001,,,,,0.234,2.494,0.214,,0.071,1.329,0.069,,0.0,4.036,0.383,,,0.0,3.069,1.2,,4.615,0.002,0.001,0.003,0.0,334.592,55.71,,
India,1883,IND,260991354.0,,,,2.441,0.245,11.137,114.528,-0.734,-0.637,0.439,,,0.009,,,2.291,0.009,,,,,16.929,1658.872,16.27,,0.0,4157.098,0.66,,,,,,0.0,0.0,0.216,1.29,112.087,0.429,227.217,0.871,38.705,0.148,0.15,0.001,,,,,0.245,2.415,0.234,,0.079,1.372,0.076,,0.0,3.998,0.442,,,0.0,2.994,0.911,,4.579,0.002,0.001,0.003,0.0,336.773,56.464,,
India,1884,IND,263098048.0,233500588000.0,,,2.73,0.289,11.844,115.849,1.322,1.154,0.44,0.496,,0.01,0.012,,2.433,0.009,,,,,19.659,1774.722,18.703,,0.0,4270.217,0.956,,,,,,0.0,0.0,0.218,1.292,113.119,0.43,229.174,0.871,38.978,0.148,0.297,0.001,,,,,0.27,2.434,0.246,,0.087,1.412,0.084,,0.0,3.964,0.57,,,0.0,3.017,1.62,,4.549,0.002,0.001,0.003,0.0,339.994,57.235,,
India,1885,IND,265221721.0,242433816000.0,,,2.459,-0.271,-9.912,116.144,0.295,0.255,0.438,0.479,,0.009,0.01,,2.254,0.008,,,,,22.119,1890.866,20.957,,0.0,4383.902,1.162,,,,,,0.0,0.0,0.216,1.292,113.685,0.429,231.064,0.871,39.223,0.148,0.205,0.001,,,,,0.242,2.434,0.227,,0.094,1.449,0.09,,0.0,3.932,0.622,,,0.0,3.027,1.082,,4.523,0.002,0.001,0.004,0.0,342.667,57.378,,
India,1886,IND,267362508.0,236355820000.0,,,2.772,0.313,12.713,117.385,1.241,1.069,0.439,0.497,,0.01,0.012,,2.417,0.009,,,,,24.891,2008.251,23.374,,0.0,4498.516,1.517,,,,,,0.0,0.0,0.218,1.295,114.613,0.429,233.028,0.872,39.455,0.148,0.355,0.001,,,,,0.268,2.454,0.241,,0.101,1.485,0.096,,0.0,3.904,0.728,,,0.0,3.056,1.629,,4.503,0.002,0.001,0.004,0.0,346.193,58.178,,
India,1887,IND,269520547.0,248702400000.0,,,3.066,0.294,10.604,117.987,0.602,0.512,0.438,0.474,,0.011,0.012,,2.722,0.01,,,,,27.957,2126.239,26.096,,0.0,4613.437,1.861,,,,,,0.0,0.0,0.219,1.296,114.921,0.426,235.016,0.872,39.687,0.147,0.344,0.001,,,,,0.283,2.411,0.26,,0.109,1.517,0.103,,0.0,3.875,0.802,,,0.0,3.017,1.465,,4.484,0.002,0.001,0.004,0.0,349.253,58.984,,
India,1888,IND,271695977.0,252440820000.0,,,3.41,0.344,11.205,118.649,0.662,0.561,0.437,0.47,,0.013,0.014,,2.974,0.011,,,,,31.366,2244.888,29.07,,0.0,4728.676,2.297,,,,,,0.0,0.0,0.22,1.298,115.24,0.424,236.999,0.872,39.934,0.147,0.436,0.002,,,,,0.284,2.372,0.256,,0.117,1.547,0.109,,0.0,3.849,0.895,,,0.0,3.032,1.772,,4.466,0.002,0.001,0.004,0.0,352.764,59.834,,
India,1889,IND,273520781.0,247072518000.0,,,4.022,0.612,17.958,119.336,0.687,0.579,0.436,0.483,,0.015,0.016,,3.388,0.012,,,,,35.388,2364.225,32.457,,0.0,4843.991,2.931,,,,,,0.0,0.0,0.223,1.302,115.315,0.422,239.017,0.874,40.208,0.147,0.634,0.002,,,,,0.335,2.369,0.292,,0.126,1.574,0.117,,0.0,3.824,1.029,,,0.0,3.007,2.232,,4.451,0.002,0.001,0.004,0.001,356.091,60.989,,
India,1890,IND,274991729.0,260331806000.0,,,4.432,0.41,10.19,118.679,-0.657,-0.551,0.432,0.456,,0.016,0.017,,3.776,0.014,,,,,39.82,2482.904,36.233,,0.0,4958.239,3.586,,,,,,0.0,0.0,0.225,1.31,114.248,0.415,241.026,0.876,41.745,0.152,0.656,0.002,,,,,0.339,2.188,0.3,,0.136,1.596,0.125,,0.0,3.791,1.122,,,0.0,2.775,1.893,,4.429,0.002,0.001,0.004,0.001,360.333,62.0,,
India,1891,IND,276105563.0,236132730000.0,,,4.772,0.341,7.689,118.59,-0.089,-0.075,0.43,0.502,,0.017,0.02,,4.054,0.015,,,,,44.592,2601.494,40.287,,0.0,5072.056,4.305,,,,,,0.0,0.0,0.226,1.309,113.818,0.412,241.501,0.875,41.866,0.152,0.718,0.003,,,,,0.348,2.127,0.307,,0.145,1.614,0.133,,0.0,3.757,1.194,,,0.0,2.706,1.759,,4.405,0.002,0.001,0.004,0.001,361.509,62.53,,
India,1892,IND,276859000.0,255340540000.0,,,5.247,0.475,9.95,117.746,-0.844,-0.712,0.425,0.461,,0.019,0.021,,4.416,0.016,,,,,49.839,2719.24,44.703,,0.0,5184.556,5.136,,,,,,0.0,0.0,0.228,1.308,112.499,0.406,241.995,0.874,41.991,0.152,0.831,0.003,,,,,0.38,2.117,0.332,,0.155,1.631,0.141,,0.0,3.725,1.282,,,0.0,2.69,2.067,,4.384,0.003,0.001,0.004,0.001,362.23,63.215,,
India,1893,IND,277248729.0,261684549000.0,,,5.543,0.296,5.639,117.826,0.079,0.067,0.425,0.45,,0.02,0.021,,4.459,0.016,,,,,55.382,2837.065,49.163,,0.0,5296.838,6.22,,,,,,0.0,0.0,0.23,1.31,112.282,0.405,242.432,0.874,42.121,0.152,1.084,0.004,,,,,0.407,2.111,0.34,,0.165,1.646,0.149,,0.0,3.694,1.404,,,0.0,2.661,2.548,,4.365,0.003,0.001,0.005,0.001,363.289,63.667,,
India,1894,IND,277638978.0,265797360000.0,,,5.617,0.074,1.326,116.989,-0.836,-0.71,0.421,0.44,,0.02,0.021,,4.909,0.018,,,,,60.999,2954.055,54.072,,0.0,5408.211,6.927,,,,,,0.0,0.0,0.23,1.31,111.373,0.401,242.925,0.875,42.256,0.152,0.707,0.003,,,,,0.398,2.047,0.36,,0.175,1.659,0.158,,0.0,3.661,1.429,,,0.0,2.588,1.696,,4.344,0.003,0.001,0.005,0.001,363.618,63.953,,
India,1895,IND,278029747.0,259487840000.0,,,7.035,1.418,25.246,119.043,2.053,1.755,0.428,0.459,,0.025,0.027,,6.162,0.022,,,,,68.034,3073.098,60.234,,0.0,5520.219,7.799,,,,,,0.0,0.0,0.237,1.32,112.008,0.403,243.591,0.876,42.396,0.152,0.872,0.003,,,,,0.47,2.057,0.428,,0.187,1.672,0.168,,0.0,3.632,1.462,,,0.0,2.611,1.798,,4.324,0.003,0.001,0.005,0.001,366.898,65.758,,
India,1896,IND,278421038.0,240159000000.0,,,7.608,0.573,8.15,119.325,0.282,0.237,0.429,0.497,,0.027,0.032,,6.703,0.024,,,,,75.641,3192.422,66.937,,0.0,5631.936,8.705,,,,,,0.0,0.0,0.239,1.322,111.717,0.401,244.117,0.877,42.541,0.153,0.905,0.003,,,,,0.492,2.039,0.451,,0.199,1.683,0.18,,0.0,3.603,1.486,,,0.0,2.595,1.722,,4.304,0.003,0.001,0.005,0.001,368.131,66.581,,
India,1897,IND,278812851.0,284161116000.0,,,8.253,0.645,8.482,119.86,0.535,0.449,0.43,0.422,,0.03,0.029,,7.081,0.025,,,,,83.895,3312.283,74.018,,0.0,5743.543,9.877,,,,,,0.0,0.0,0.242,1.328,111.607,0.4,244.62,0.877,42.69,0.153,1.172,0.004,,,,,0.51,2.0,0.455,,0.212,1.693,0.191,,0.0,3.575,1.54,,,0.0,2.551,2.112,,4.283,0.003,0.002,0.005,0.001,370.18,67.455,,
India,1898,IND,279205186.0,284652072000.0,,,9.125,0.872,10.563,121.288,1.428,1.191,0.434,0.426,,0.033,0.032,,8.023,0.029,,,,,93.02,3433.571,82.04,,0.0,5855.706,10.98,,,,,,0.0,0.0,0.246,1.334,112.163,0.402,245.221,0.878,42.843,0.153,1.102,0.004,,,,,0.535,1.989,0.489,,0.225,1.702,0.203,,0.0,3.547,1.572,,,0.0,2.554,1.928,,4.261,0.003,0.002,0.005,0.001,372.326,68.654,,
India,1899,IND,279838410.0,262708325000.0,,,10.054,0.929,10.184,121.07,-0.218,-0.18,0.433,0.461,,0.036,0.038,,8.871,0.032,,,,,103.074,3554.641,90.911,,0.0,5966.721,12.163,,,,,,0.0,0.0,0.25,1.335,111.015,0.397,245.808,0.878,43.001,0.154,1.183,0.004,,,,,0.539,1.924,0.495,,0.239,1.708,0.215,,0.0,3.52,1.603,,,0.0,2.508,1.972,,4.237,0.003,0.002,0.005,0.001,373.631,69.899,,
India,1900,IND,280714154.0,271697500000.0,,,11.929,1.875,18.649,118.66,-2.41,-1.99,0.423,0.437,,0.042,0.044,,10.654,0.038,,,,,115.003,3673.301,101.565,,0.0,6073.452,13.438,,,,,,0.0,0.0,0.257,1.336,106.731,0.38,246.576,0.878,43.162,0.154,1.275,0.005,,,,,0.608,1.847,0.566,,0.255,1.713,0.23,,0.0,3.491,1.627,,,0.0,2.393,1.895,,4.212,0.003,0.002,0.006,0.001,375.037,72.272,,
India,1901,IND,281834058.0,277327800000.0,,,13.179,1.25,10.479,117.017,-1.643,-1.385,0.415,0.422,,0.047,0.048,,11.553,0.041,,,,,128.183,3790.318,113.118,,0.0,6177.29,15.065,,,,,,0.0,0.0,0.262,1.324,103.838,0.368,245.603,0.871,43.337,0.154,1.627,0.006,,,,,0.651,1.77,0.597,,0.272,1.714,0.246,,0.0,3.46,1.673,,,0.0,2.265,2.176,,4.182,0.003,0.002,0.006,0.001,373.187,73.727,,
India,1902,IND,283199773.0,300672000000.0,,,14.515,1.336,10.135,119.041,2.023,1.729,0.42,0.396,,0.051,0.048,,12.925,0.046,,,,,142.698,3909.359,126.043,,0.0,6281.815,16.655,,,,,,0.0,0.0,0.266,1.32,104.525,0.369,244.717,0.864,43.531,0.154,1.59,0.006,,,,,0.699,1.775,0.653,,0.29,1.716,0.262,,0.0,3.43,1.697,,,0.0,2.259,1.968,,4.149,0.003,0.002,0.006,0.001,373.723,75.36,,
India,1903,IND,284812956.0,304764400000.0,,,14.802,0.287,1.975,116.541,-2.5,-2.1,0.409,0.382,,0.052,0.049,,12.952,0.045,,,,,157.5,4025.9,138.995,,0.0,6383.555,18.505,,,,,,0.0,0.0,0.266,1.31,101.739,0.357,243.574,0.855,43.738,0.154,1.85,0.006,,,,,0.654,1.682,0.599,,0.306,1.715,0.277,,0.0,3.399,1.734,,,0.0,2.182,2.163,,4.11,0.003,0.002,0.006,0.001,373.068,75.693,,
India,1904,IND,286435299.0,306075000000.0,,,16.561,1.759,11.883,117.772,1.231,1.056,0.411,0.385,,0.058,0.054,,14.307,0.05,,,,,174.061,4143.671,153.302,,0.0,6484.765,20.758,,,,,,0.0,0.0,0.272,1.305,101.211,0.353,242.699,0.847,43.954,0.153,2.253,0.008,,,,,0.723,1.668,0.658,,0.324,1.714,0.293,,0.0,3.367,1.785,,,0.0,2.121,2.345,,4.068,0.003,0.002,0.006,0.001,373.834,77.769,,
India,1905,IND,288066854.0,300632500000.0,,,16.93,0.37,2.232,117.168,-0.604,-0.513,0.407,0.39,,0.059,0.056,,14.659,0.051,,,,,190.991,4260.839,167.961,,0.0,6585.002,23.03,,,,,,0.0,0.0,0.272,1.296,100.237,0.348,241.619,0.839,44.172,0.153,2.272,0.008,,,,,0.694,1.617,0.632,,0.34,1.711,0.307,,0.0,3.336,1.828,,,0.0,2.087,2.342,,4.021,0.003,0.002,0.006,0.001,373.443,78.253,,
India,1906,IND,289707671.0,308969700000.0,,,19.549,2.619,15.467,118.45,1.283,1.095,0.409,0.383,,0.067,0.063,,17.036,0.059,,,,,210.54,4379.29,184.997,,0.0,6683.903,25.544,,,,,,0.0,0.0,0.281,1.292,98.901,0.341,240.934,0.832,44.389,0.153,2.514,0.009,,,,,0.767,1.596,0.702,,0.358,1.708,0.324,,0.0,3.304,1.881,,,0.0,2.03,2.568,,3.971,0.004,0.002,0.006,0.001,374.4,81.382,,
India,1907,IND,291357804.0,290665100000.0,,,21.772,2.223,11.371,119.471,1.02,0.861,0.41,0.411,,0.075,0.075,,19.412,0.067,,,,,232.312,4498.76,204.409,,0.0,6781.602,27.903,,,,,,0.0,0.0,0.289,1.29,97.699,0.335,240.236,0.825,44.597,0.153,2.36,0.008,,,,,0.749,1.536,0.704,,0.377,1.703,0.341,,0.0,3.274,1.889,,,0.0,2.005,1.976,,3.916,0.004,0.002,0.006,0.001,375.758,84.1,,
India,1908,IND,293017306.0,294816900000.0,,,24.908,3.136,14.403,121.715,2.244,1.878,0.415,0.413,,0.085,0.084,,22.237,0.076,,,,,257.22,4620.474,226.646,,0.0,6878.409,30.574,,,,,,0.0,0.0,0.3,1.29,96.807,0.33,239.64,0.818,44.793,0.153,2.671,0.009,,,,,0.893,1.578,0.844,,0.399,1.699,0.363,,0.0,3.243,1.903,,,0.0,1.967,2.074,,3.864,0.004,0.002,0.006,0.001,378.03,87.829,,
